match_id,blue_Win,blue_Wards,blue_Yellow_Wards,blue_Sight_Wards,blue_Blue_Wards,blue_Control_Wards,blue_Wards_Destroyed,blue_First_Blood,blue_Kills,blue_Aces,blue_Assists,blue_Void_Grubs,blue_Dragons,blue_Cloud_Drake,blue_Infernal_Drake,blue_Mountain_Drake,blue_Ocean_Drake,blue_Chemtech_Drake,blue_Hextech_Drake,blue_Heralds,blue_Towers_Destroyed,blue_Top_Towers_Destroyed,blue_Mid_Towers_Destroyed,blue_Bot_Towers_Destroyed,blue_Turret_Plates,blue_Inhibitors,blue_Top_Inhibitor,blue_Mid_Inhibitor,blue_Bot_Inhibitor,blue_Top_Plates,blue_Mid_Plates,blue_Bot_Plates,blue_Total_Gold,blue_Total_Level,blue_Avg_Level,blue_Total_XP,blue_Total_CS,blue_Total_Jungle_Monsters,blue_Gold_Diff,blue_XP_Diff,blue_Magic_Dmg,blue_Physical_Dmg,blue_True_Dmg,blue_Total_Dmg,red_Win,red_Wards,red_Yellow_Wards,red_Sight_Wards,red_Blue_Wards,red_Control_Wards,red_Wards_Destroyed,red_First_Blood,red_Kills,red_Aces,red_Assists,red_Void_Grubs,red_Dragons,red_Cloud_Drake,red_Infernal_Drake,red_Mountain_Drake,red_Ocean_Drake,red_Chemtech_Drake,red_Hextech_Drake,red_Heralds,red_Towers_Destroyed,red_Top_Towers_Destroyed,red_Mid_Towers_Destroyed,red_Bot_Towers_Destroyed,red_Turret_Plates,red_Inhibitors,red_Top_Inhibitor,red_Mid_Inhibitor,red_Bot_Inhibitor,red_Top_Plates,red_Mid_Plates,red_Bot_Plates,red_Total_Gold,red_Total_Level,red_Avg_Level,red_Total_XP,red_Total_CS,red_Total_Jungle_Monsters,red_Gold_Diff,red_XP_Diff,red_Magic_Dmg,red_Physical_Dmg,red_True_Dmg,red_Total_Dmg
NA1_4955340103,1.0,30.0,14.0,7.0,1.0,5.0,5.0,1.0,11.0,0.0,11.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,27828.0,45.0,9.0,28721.0,364.0,68.0,-100.0,-1625.0,8559.0,18126.0,1805.0,28493.0,0.0,21.0,13.0,5.0,0.0,3.0,3.0,0.0,11.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,27928.0,46.0,9.2,30346.0,316.0,112.0,100.0,1625.0,6216.0,20982.0,558.0,27761.0
NA1_4959828283,1.0,23.0,15.0,4.0,1.0,3.0,2.0,1.0,7.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,25927.0,45.0,9.0,28121.0,343.0,84.0,651.0,-70.0,10203.0,16215.0,672.0,27094.0,0.0,41.0,14.0,3.0,0.0,5.0,5.0,0.0,9.0,0.0,17.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25276.0,44.0,8.8,28191.0,332.0,87.0,-651.0,70.0,14643.0,17147.0,559.0,32352.0
NA1_4957395587,1.0,25.0,14.0,4.0,0.0,6.0,9.0,1.0,17.0,0.0,14.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,30154.0,47.0,9.4,30496.0,346.0,60.0,3557.0,713.0,13068.0,25352.0,792.0,39215.0,0.0,85.0,14.0,6.0,0.0,3.0,11.0,0.0,10.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26597.0,47.0,9.4,29783.0,313.0,95.0,-3557.0,-713.0,13017.0,9757.0,1795.0,24571.0
NA1_4955450483,1.0,27.0,19.0,4.0,0.0,4.0,5.0,0.0,7.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23502.0,45.0,9.0,27060.0,311.0,94.0,-2456.0,-1294.0,14349.0,8961.0,1183.0,24496.0,0.0,25.0,14.0,4.0,1.0,3.0,8.0,1.0,10.0,0.0,13.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,25958.0,46.0,9.2,28354.0,342.0,86.0,2456.0,1294.0,11432.0,17419.0,854.0,29710.0
NA1_4960626761,1.0,25.0,17.0,4.0,0.0,3.0,2.0,1.0,15.0,0.0,12.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,31879.0,48.0,9.6,31969.0,400.0,100.0,5417.0,1818.0,12326.0,17410.0,2262.0,32001.0,0.0,12.0,8.0,1.0,0.0,3.0,4.0,0.0,10.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26462.0,47.0,9.4,30151.0,375.0,80.0,-5417.0,-1818.0,11750.0,14958.0,778.0,27489.0
NA1_4960588940,0.0,33.0,19.0,7.0,0.0,3.0,5.0,0.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21830.0,41.0,8.2,24821.0,315.0,76.0,-6217.0,-3375.0,6774.0,9881.0,2968.0,19628.0,1.0,24.0,18.0,3.0,0.0,3.0,8.0,1.0,12.0,0.0,15.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,28047.0,45.0,9.0,28196.0,353.0,92.0,6217.0,3375.0,12644.0,13038.0,482.0,26168.0
NA1_4960551282,0.0,282.0,22.0,4.0,0.0,2.0,5.0,1.0,9.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25604.0,47.0,9.4,29600.0,369.0,72.0,-5658.0,-1233.0,11964.0,15875.0,710.0,28551.0,1.0,26.0,12.0,7.0,0.0,7.0,10.0,0.0,20.0,0.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,31262.0,47.0,9.4,30833.0,360.0,83.0,5658.0,1233.0,12315.0,19919.0,550.0,32788.0
NA1_4960204143,0.0,18.0,10.0,5.0,0.0,3.0,4.0,1.0,5.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23040.0,43.0,8.6,24574.0,302.0,104.0,-6902.0,-5209.0,4244.0,18340.0,3676.0,26263.0,1.0,28.0,15.0,10.0,0.0,3.0,5.0,0.0,19.0,0.0,16.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,29942.0,46.0,9.2,29783.0,316.0,84.0,6902.0,5209.0,10086.0,18248.0,492.0,28829.0
NA1_4960178087,1.0,24.0,16.0,6.0,1.0,1.0,2.0,1.0,26.0,0.0,29.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,37098.0,50.0,10.0,33240.0,344.0,108.0,10211.0,6878.0,15007.0,31283.0,4641.0,50934.0,0.0,22.0,15.0,4.0,0.0,3.0,3.0,0.0,14.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,26887.0,43.0,8.6,26362.0,266.0,60.0,-10211.0,-6878.0,15681.0,17759.0,3391.0,36834.0
NA1_4960596427,1.0,73.0,12.0,4.0,0.0,1.0,5.0,1.0,24.0,0.0,29.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,33733.0,47.0,9.4,29990.0,323.0,107.0,7371.0,2978.0,13378.0,29187.0,1561.0,44130.0,0.0,27.0,15.0,8.0,1.0,3.0,4.0,0.0,14.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26362.0,45.0,9.0,27012.0,292.0,60.0,-7371.0,-2978.0,17266.0,13943.0,992.0,32207.0
